"ward","total_households","total_individuals","target","dw_00","dw_01","dw_02","dw_03","dw_04","dw_05","dw_06","dw_07","dw_08","dw_09","dw_10","dw_11","dw_12","dw_13","psa_00","psa_01","psa_02","psa_03","psa_04","stv_00","stv_01","car_00","car_01","lln_00","lln_01","lan_00","lan_01","lan_02","lan_03","lan_04","lan_05","lan_06","lan_07","lan_08","lan_09","lan_10","lan_11","lan_12","lan_13","lan_14","pg_00","pg_01","pg_02","pg_03","pg_04","lgt_00","pw_00","pw_01","pw_02","pw_03","pw_04","pw_05","pw_06","pw_07","pw_08","ADM4_PCODE","lat","lon","NL"
"41601001: Ward 1",1674.45058,5888.2075,16.7737569179,0.9338414335,0.0008457222,0.0054901471,0.0006764547,0,0.0013723487,0.0057498741,0.031465754,0.0080802385,0.0028227289,0.001430941,0.0082243574,0,0,0.260191138,0.6078984903,0.0001881489,0.0100176989,0.1217045238,0.2834675778,0.7165324222,0.2737272545,0.7262727455,0.1188247371,0.8811752629,0.8329126394,0.0123364623,0.0019228127,0.050939144,0,0.0005639543,0.0760879792,0.0063710255,0.0036633509,0.0003751685,0.000371901,0.0049431223,0.002719201,0,0.0067932389,0.3574554022,0.5631658463,0.0042600741,0.0729959228,0.0021227547,0.9194243284,0.742692203,0.2140270273,0.0199679109,0.0028480088,0.0075371469,0,0.0129277031,0,0,"ZA4161001",-29.6822700584,24.7347433306,0.2920385261
"41601002: Ward 2",1736.9923,6735.33812,21.4966612115,0.6969400382,0.0012528898,0.0044021093,0,0.0023013804,0.0013229362,0.007574691,0.1235472201,0.151909735,0.0014861091,0.0012528898,0.008010001,0,0,0.2902283264,0.5497884151,0,0.021336084,0.1386471746,0.1036411733,0.8963588267,0.1446382117,0.8553617883,0.0669033536,0.9330966464,0.8796548925,0.0084451573,0.000327982,0.0112493179,0.0008416252,0.001758571,0.0324307876,0.0308441293,0.0016456204,0.0013075335,0.0009942559,0,0.0024391752,0,0.028060952,0.6984278601,0.2780061886,0.0036950394,0.0158354114,0.0040355004,0.9592590077,0.3092938754,0.5768441576,0.0189463477,0.014566167,0.0571266896,0.019091639,0.0041311237,0,0,"ZA4161002",-29.1193113796,24.7577373108,3.2077754739
"41601003: Ward 3",2403.57591,7273.04995,10.9314246705,0.8105448186,0.0045170032,0.0088908779,0.0039862939,0.0077346049,0.0009560464,0.0066862918,0.0226320208,0.1299020259,0,0,0.0041500166,0,0,0.1864347666,0.6770047221,0.0004890947,0.0213146701,0.1147567466,0.1657716398,0.8342283602,0.2722200274,0.7277799726,0.1000086034,0.8999913966,0.5655459963,0.015991206,0.0015660445,0.1112697473,0.0047950118,0.0025515334,0.1480833553,0.1396873563,0.0031654272,0.000164517,0.000778705,0.0016921512,0.0025090464,0,0.0021999024,0.6724515153,0.1542248063,0.0021806106,0.1674939604,0.0036491073,0.8261639675,0.3233931854,0.4833762292,0.0830103053,0.0575598879,0.0103581958,0.0014212657,0.0408809306,0,0,"ZA4161003",-29.1422761393,25.094093433,0
"41601004: Ward 4",1740.78737,5734.49046,23.1192572359,0.659913979,0,0.0061293873,0,0.000813494,0.0372454563,0.0052554667,0.0689088582,0.2187863185,0,0,0.00294704,0,0,0.2812288016,0.5932806888,0.0005790715,0.0072488829,0.1176625551,0.0877681115,0.9122318885,0.1278754452,0.8721245548,0.0291553816,0.9708446184,0.7438116586,0.0065304198,0.0011884177,0.0864233734,0.0067352226,0.0023076348,0.1032442436,0.0382840693,0.0030802702,0.0005817727,0,0.0001965475,0.0074419864,0,0.0001743834,0.7280144154,0.2638307624,0.001805864,0.0009564267,0.0053925314,0.9861507612,0.6774371071,0.314193525,0.0026893003,0,0.0006693753,0,0.0050106924,0,0,"ZA4161004",-29.3720515178,24.9428668511,2.0387780125
"41601005: Ward 5",1730.51451,6657.23835,13.6522518959,0.9505754736,0.0006545394,0.0014728625,0.0005978222,0.0069985487,0.0008183231,0.0049845811,0.0091499782,0.015381726,0.0086927962,0,0.0006733489,0,0,0.1966868108,0.5175781336,0.0009889536,0.0051483105,0.2795977915,0.3459749783,0.6540250217,0.404507137,0.595492863,0.1335519747,0.8664480253,0.4226227382,0.0143521885,0.0008420669,0.1218690014,0.0070274801,0.0026132533,0.1473625411,0.0817060906,0.0030438838,0.0001693044,0.0006432487,0.0012005384,0.0042757445,0,0.1922719201,0.7534906302,0.1296539653,0.004522554,0.1069530356,0.0053798149,0.9573762256,0.7711064208,0.1947431172,0.0096991501,0.0048585493,0.0012901134,0.0006733489,0.0176293003,0,0,"ZA4161005",-29.4093813324,25.2901652875,0
"41601006: Ward 6",1956.16888,6340.05782,25.249880266,0.7668319312,0.0005790349,0.0058740736,0,0,0.0014478505,0.0388077025,0.090013486,0.0929059152,0,0,0.0035400062,0,0,0.270240925,0.5661809611,0.0001712476,0.0206586255,0.1427482407,0.1351319524,0.8648680476,0.2221196822,0.7778803178,0.0872583506,0.9127416494,0.2274946824,0.0129033634,0.0040232346,0.2350343833,0.0148241077,0.0046175241,0.1997412494,0.2436425651,0.0049108085,0.000726476,0.0003453959,0.0023056793,0.0060555315,0,0.0433749987,0.8342634042,0.0565585646,0.0037766706,0.1021690651,0.0032322954,0.9534028626,0.2718389836,0.6140117667,0.0274960463,0.0207710645,0.0022751921,0.0241838833,0.0394230635,0,0,"ZA4161006",-29.1268702848,25.4103600113,1.4645410542
"41602001: Ward 1",1966.40293,6230.77491,19.9845852549,0.9083996279,0.0068568348,0.002940969,0.0005760213,0.0007201576,0.0019053064,0.0385194046,0.0126717061,0.0247845084,0.0007201576,0.001312732,0.0005925744,0,0,0.2515025021,0.6050180988,0.0002157661,0.0112603987,0.1320032342,0.1686477349,0.8313522651,0.2234508469,0.7765491531,0.1060840466,0.8939159534,0.1931254647,0.0129320785,0.0016044184,0.143817548,0.0011854481,0.0021291734,0.6038019419,0.0063707341,0.0139195608,0,0,0.0007249853,0.0028948358,0,0.0174938112,0.8072558073,0.0507405603,0.0030789477,0.1365795061,0.0023451786,0.9248859795,0.4684643752,0.4717535282,0.0327115816,0.0038272827,0.0005085428,0.0025424443,0.0201922451,0,0,"ZA4162001",-29.6408602672,26.0917736986,0.8217381051
"41602002: Ward 2",2214.44168,6873.93123,16.5110805718,0.8900794714,0.0045494808,0.0022617439,0.0011509944,0.0005115014,0.0018051864,0.0094934404,0.0668423925,0.0212155824,0.0010377017,0,0.0010525046,0,0,0.2444773455,0.609624618,0.0003219148,0.0078109845,0.1377651373,0.2870283899,0.7129716101,0.2186412288,0.7813587712,0.1010952657,0.8989047343,0.3959495533,0.0152246548,0.002291226,0.1413201787,0.0113109627,0.0022235864,0.367913784,0.0123550421,0.0050952808,0.0006634879,0.0006539315,0.0028865258,0.0070517901,0,0.0350599958,0.6621445731,0.2253124883,0.0037301362,0.1030178956,0.0057949067,0.9239932478,0.4389836223,0.5046041809,0.0229965325,0.0063640285,0.001278986,0.0005262004,0.0252464495,0,0,"ZA4162002",-30.0291626633,25.9171636063,0
"41602003: Ward 3",2022.95917,6736.49015,25.9621166749,0.9122977554,0.0027986032,0.0036879884,0.0005599174,0.0012599414,0.0005599174,0.0057704773,0.0240868925,0.04574251,0.0019760557,0.0005599174,0.000700024,0,0,0.302585212,0.5449367368,0.0001673126,0.0137373332,0.1385734053,0.2293848966,0.7706151034,0.2171833997,0.7828166003,0.1283393129,0.8716606871,0.193510297,0.0252379127,0.0020044236,0.4140340278,0.0062413822,0.0011616331,0.292356513,0.0082588973,0.0100098758,0.0003607383,0.000499404,0,0.0056508952,0,0.0406739999,0.8029596703,0.1026057301,0.0071289676,0.0829630204,0.0043426116,0.9330429986,0.4450669511,0.5304981761,0.0082587826,0.0061093225,0.0012760317,0,0.008790736,0,0,"ZA4162003",-30.462175669,26.1331700773,0
"41602004: Ward 4",1775.53323,5682.1011,21.744166399,0.8826647418,0.0052268129,0.0091278044,0,0.0036869431,0.0028391752,0.0248128783,0.0270018095,0.004729306,0.0124678658,0.0006379436,0.0268047194,0,0,0.2547986202,0.5808205806,0.0001910772,0.0181669066,0.1460228154,0.3425096527,0.6574903473,0.2875520049,0.7124479951,0.15108811,0.84891189,0.5099400361,0.0218336171,0.0019540395,0.2192591276,0.0041691215,0.0012082098,0.1803139036,0.0040410245,0.0029308454,0.000588307,0.0002105806,0.0009698015,0.0052397431,0,0.0473416427,0.5290884652,0.3446971227,0.0041432473,0.1111728934,0.0108982714,0.9382785643,0.5665115713,0.4260786096,0.0021101267,0.0026435664,0,0.0005826644,0.0020734616,0,0,"ZA4162004",-30.4204211245,25.3516296161,0
